market,side,position_size,value,mark_price,funding_payment,rate,time
MON-USD,LONG,2080,49.907582,0.023994029913,0.00494,-0.000099,2025-12-12T21:00:00.692Z
PENDLE-USD,LONG,22,48.287597,2.1948907845,0.003766,-0.000078,2025-12-12T21:00:00.692Z
ZRO-USD,LONG,35,49.221101,1.406317179083,-0.000247,0.000005,2025-12-12T21:00:00.692Z
CRV-USD,LONG,128,49.587245,0.387400355499,0.004809,-0.000097,2025-12-12T21:00:00.692Z
EDEN-USD,LONG,770,49.942115,0.064859889624,0.00834,-0.000167,2025-12-12T21:00:00.692Z
ZEC-USD,LONG,0.1,39.607886,396.078862275,-0.000515,0.000013,2025-12-09T05:00:00.104Z
ENA-USD,LONG,180,48.160083,0.267556019874,0.001012,-0.000021,2025-12-09T05:00:00.104Z
RESOLV-USD,LONG,630,49.698668,0.078886774912,-0.000646,0.000013,2025-12-09T05:00:00.104Z
WLD-USD,LONG,83,50.394583,0.607163660874,-0.000655,0.000013,2025-12-09T05:00:00.104Z
MNT-USD,LONG,45,49.908497,1.109077726249,-0.000649,0.000013,2025-12-09T05:00:00.104Z
ZEC-USD,LONG,0.1,40.248018,402.480183749999,-0.000524,0.000013,2025-12-09T04:00:00.104Z
ENA-USD,LONG,180,48.81066,0.271170336249,0.002489,-0.000051,2025-12-09T04:00:00.104Z
RESOLV-USD,LONG,630,49.34215,0.078320873624,0.000197,-0.000004,2025-12-09T04:00:00.104Z
WLD-USD,LONG,83,51.310297,0.618196361249,-0.000667,0.000013,2025-12-09T04:00:00.104Z
MNT-USD,LONG,45,50.716553,1.127034521249,0.001014,-0.00002,2025-12-09T04:00:00.104Z
ZEC-USD,LONG,0.1,40.301999,403.019999999999,-0.000523,0.000013,2025-12-09T03:00:00.104Z
ENA-USD,LONG,180,48.162371,0.2675687285,0.001734,-0.000036,2025-12-09T03:00:00.104Z
RESOLV-USD,LONG,630,49.300704,0.078255086249,0.003698,-0.000075,2025-12-09T03:00:00.104Z
WLD-USD,LONG,83,49.965347,0.601992136499,-0.000649,0.000013,2025-12-09T03:00:00.104Z
MNT-USD,LONG,45,50.185011,1.115222484749,0.004266,-0.000085,2025-12-09T03:00:00.104Z
ZEC-USD,LONG,0.1,40.358508,403.585089374999,-0.000525,0.000013,2025-12-09T02:00:00.104Z
ENA-USD,LONG,180,48.358208,0.268656716249,-0.00058,0.000012,2025-12-09T02:00:00.104Z
RESOLV-USD,LONG,630,49.616766,0.078756771987,-0.000645,0.000013,2025-12-09T02:00:00.104Z
WLD-USD,LONG,83,49.863371,0.600763516875,-0.000649,0.000013,2025-12-09T02:00:00.104Z
MNT-USD,LONG,45,50.439384,1.120875219124,0.001765,-0.000035,2025-12-09T02:00:00.104Z
ZEC-USD,LONG,0.1,41.538746,415.38746125,-0.000416,0.00001,2025-12-09T01:00:00.104Z
ENA-USD,LONG,180,48.772463,0.2709581285,-0.000537,0.000011,2025-12-09T01:00:00.104Z
RESOLV-USD,LONG,630,49.472234,0.07852735575,-0.000643,0.000013,2025-12-09T01:00:00.104Z
WLD-USD,LONG,83,50.36176,0.6067682025,-0.000654,0.000013,2025-12-09T01:00:00.104Z
MNT-USD,LONG,45,49.075976,1.090577263749,-0.000294,0.000006,2025-12-09T01:00:00.104Z
ZEC-USD,LONG,0.1,40.5475,405.475,-0.000527,0.000013,2025-12-09T00:00:00.104Z
ENA-USD,LONG,180,49.024593,0.272358851374,0.000392,-0.000008,2025-12-09T00:00:00.104Z
RESOLV-USD,LONG,630,49.862845,0.079147374349,-0.000648,0.000013,2025-12-09T00:00:00.104Z
WLD-USD,LONG,83,50.959506,0.613969953374,-0.000663,0.000013,2025-12-09T00:00:00.104Z
MNT-USD,LONG,45,49.184225,1.092982788499,0.003984,-0.000081,2025-12-09T00:00:00.104Z
ZEC-USD,LONG,0.1,41.300396,413.0039674875,-0.000082,0.000002,2025-12-08T23:00:00.104Z
ENA-USD,LONG,180,49.131614,0.272953411874,0.001474,-0.00003,2025-12-08T23:00:00.104Z
RESOLV-USD,LONG,630,49.792547,0.079035790349,-0.00015,0.000003,2025-12-08T23:00:00.104Z
WLD-USD,LONG,83,50.68471,0.610659159749,-0.000659,0.000013,2025-12-08T23:00:00.104Z
MNT-USD,LONG,45,49.479502,1.099544502249,0.003612,-0.000073,2025-12-08T23:00:00.104Z
ZEC-USD,LONG,0.1,41.620916,416.20916205,0.000249,-0.000006,2025-12-08T22:00:00.104Z
ENA-USD,LONG,180,49.869498,0.2770527705,0.002244,-0.000045,2025-12-08T22:00:00.104Z
RESOLV-USD,LONG,630,49.326343,0.07829578295,-0.000247,0.000005,2025-12-08T22:00:00.104Z
WLD-USD,LONG,83,50.05365,0.6030560305,0.002102,-0.000042,2025-12-08T22:00:00.104Z
MNT-USD,LONG,45,49.903249,1.1089610895,0.002195,-0.000044,2025-12-08T22:00:00.104Z
ZEC-USD,LONG,0.1,41.072727,410.7272740375,-0.000534,0.000013,2025-12-08T19:00:00.104Z
ZEC-USD,LONG,0.1,41.915873,419.158739418749,-0.000545,0.000013,2025-12-08T18:00:00.104Z
MON-USD,LONG,2070,59.564425,0.028775084854,-0.000775,0.000013,2025-12-08T11:00:00.104Z
ZRO-USD,LONG,42,58.851243,1.401220076453,0.002471,-0.000042,2025-12-08T11:00:00.104Z
RESOLV-USD,LONG,800,59.156428,0.073945535737,0.008695,-0.000147,2025-12-07T21:00:00.104Z
WLFI-USD,SHORT,400,59.590128,0.1489753215,-0.001967,-0.000033,2025-12-07T16:00:00.104Z
ZORA-USD,LONG,1200,57.093704,0.0475780869,0.003996,-0.00007,2025-12-07T13:00:00.104Z
ENA-USD,LONG,220,57.462767,0.2611943955,0.004711,-0.000082,2025-12-07T13:00:00.104Z
WLFI-USD,SHORT,400,58.950019,0.147375049499,0.000766,0.000013,2025-12-07T13:00:00.104Z
ZORA-USD,SHORT,10500,501.200194,0.047733351875,0.006515,0.000013,2025-12-07T09:00:00.104Z
LTC-USD,LONG,6.05,495.97627,81.979548787499,0.03571,-0.000072,2025-12-07T09:00:00.104Z
IP-USD,SHORT,226,501.955981,2.221044165374,-0.003012,-0.000006,2025-12-07T09:00:00.104Z
POPCAT-USD,LONG,2468,249.997314,0.101295508187,-0.00325,0.000013,2025-12-06T18:00:00.104Z
1000BONK-USD,SHORT,11000,100.149027,0.009104457037,-0.000802,-0.000008,2025-12-06T16:00:00.104Z
LTC-USD,SHORT,1.24,101.260047,81.661329,0.001316,0.000013,2025-12-06T15:00:00.104Z
WLFI-USD,SHORT,670,100.541037,0.150061249998,-0.009752,-0.000097,2025-12-06T15:00:00.104Z
AERO-USD,SHORT,153,104.619369,0.68378673,0.00136,0.000013,2025-12-06T15:00:00.104Z
LTC-USD,SHORT,1.24,101.09831,81.530895424999,-0.000607,-0.000006,2025-12-06T14:00:00.104Z
WLFI-USD,SHORT,670,100.084012,0.149379123249,-0.006006,-0.00006,2025-12-06T14:00:00.104Z
AERO-USD,SHORT,153,103.195669,0.674481498249,0.001341,0.000013,2025-12-06T14:00:00.104Z
WLFI-USD,SHORT,670,99.741394,0.148867752835,-0.005786,-0.000058,2025-12-06T13:00:00.104Z
CRV-USD,LONG,259,98.921649,0.381936870874,0.013651,-0.000138,2025-12-06T13:00:00.104Z
AERO-USD,SHORT,153,100.658644,0.657899638124,-0.004027,-0.00004,2025-12-06T13:00:00.104Z
WLFI-USD,SHORT,670,99.491338,0.148494534999,-0.003881,-0.000039,2025-12-06T12:00:00.104Z
AERO-USD,SHORT,153,100.872552,0.65929773,-0.002018,-0.00002,2025-12-06T12:00:00.104Z
KAITO-USD,LONG,155,99.237512,0.640242014999,0.017168,-0.000173,2025-12-06T12:00:00.104Z
TRUMP-USD,LONG,5,28.628653,5.725730767499,-0.000373,0.000013,2025-12-06T11:00:00.104Z
WLFI-USD,LONG,200,29.756396,0.148781981249,0.000029,-0.000001,2025-12-06T11:00:00.104Z
1000PEPE-USD,LONG,6800,29.610164,0.004354436002,0.002043,-0.000069,2025-12-06T11:00:00.104Z
WLFI-USD,LONG,190,28.42068,0.149582527125,0.002131,-0.000075,2025-12-06T07:00:00.104Z
IP-USD,LONG,13,28.625796,2.20198433,-0.000373,0.000013,2025-12-06T07:00:00.104Z
APT-USD,LONG,17.3,29.701908,1.716873338749,0.00392,-0.000132,2025-12-06T07:00:00.104Z
ONDO-USD,LONG,64,29.781508,0.46533607125,-0.000388,0.000013,2025-12-06T06:00:00.104Z
KAITO-USD,LONG,46,29.318922,0.63736789125,0.009968,-0.00034,2025-12-06T06:00:00.104Z
EDEN-USD,LONG,400,30.22359,0.075558975825,-0.000393,0.000013,2025-12-06T06:00:00.104Z
ONDO-USD,LONG,64,29.736848,0.464638264499,-0.000148,0.000005,2025-12-06T05:00:00.104Z
KAITO-USD,LONG,46,29.37888,0.638671324499,0.011987,-0.000408,2025-12-06T05:00:00.104Z
EDEN-USD,LONG,400,30.063711,0.07515927755,-0.000391,0.000013,2025-12-06T05:00:00.104Z
ONDO-USD,LONG,64,29.95434,0.46803657075,0.001078,-0.000036,2025-12-06T04:00:00.104Z
KAITO-USD,LONG,46,29.397137,0.63906820575,0.008054,-0.000274,2025-12-06T04:00:00.104Z
EDEN-USD,LONG,400,30.303605,0.075759012825,0.001243,-0.000041,2025-12-06T04:00:00.104Z
ONDO-USD,LONG,64,29.775405,0.465240704249,0.000685,-0.000023,2025-12-06T03:00:00.104Z
KAITO-USD,LONG,46,29.30534,0.637072612875,0.008235,-0.000281,2025-12-06T03:00:00.104Z
EDEN-USD,LONG,400,29.95584,0.074889600624,0.001887,-0.000063,2025-12-06T03:00:00.104Z
ONDO-USD,LONG,64,29.775107,0.46523605275,0.000119,-0.000004,2025-12-06T02:00:00.104Z
KAITO-USD,LONG,46,29.30512,0.63706783575,0.011459,-0.000391,2025-12-06T02:00:00.104Z
EDEN-USD,LONG,400,29.673488,0.07418372145,0.003858,-0.00013,2025-12-06T02:00:00.104Z
ONDO-USD,LONG,64,29.77533,0.465239541375,0.000387,-0.000013,2025-12-06T01:00:00.104Z
KAITO-USD,LONG,46,29.36055,0.638272843875,0.012889,-0.000439,2025-12-06T01:00:00.104Z
EDEN-USD,LONG,400,29.465671,0.073664177624,0.004596,-0.000156,2025-12-06T01:00:00.104Z
ONDO-USD,LONG,64,29.655041,0.463360021874,0.000297,-0.00001,2025-12-06T00:00:00.104Z
KAITO-USD,LONG,46,29.587399,0.643204332,0.010918,-0.000369,2025-12-06T00:00:00.104Z
EDEN-USD,LONG,400,29.726984,0.0743174605,0.003597,-0.000121,2025-12-06T00:00:00.104Z
ONDO-USD,LONG,64,29.570934,0.462045854624,0.000502,-0.000017,2025-12-05T23:00:00.104Z
KAITO-USD,LONG,46,29.471487,0.640684515499,0.011405,-0.000387,2025-12-05T23:00:00.104Z
EDEN-USD,LONG,400,29.806183,0.074515458749,0.005335,-0.000179,2025-12-05T23:00:00.104Z
ONDO-USD,LONG,64,29.514724,0.46116756775,0.000591,-0.00002,2025-12-05T22:00:00.104Z
KAITO-USD,LONG,46,29.378563,0.638664413749,0.012016,-0.000409,2025-12-05T22:00:00.104Z
EDEN-USD,LONG,400,29.509523,0.073773807525,0.005548,-0.000188,2025-12-05T22:00:00.104Z
ONDO-USD,LONG,64,29.431797,0.459871833749,0.000471,-0.000016,2025-12-05T21:00:00.104Z
KAITO-USD,LONG,46,29.34464,0.637926975625,0.013117,-0.000447,2025-12-05T21:00:00.104Z
EDEN-USD,LONG,400,29.107566,0.072768915,0.007685,-0.000264,2025-12-05T21:00:00.104Z
ONDO-USD,LONG,64,29.564459,0.461944679249,0,0,2025-12-05T20:00:00.104Z
KAITO-USD,LONG,46,29.613969,0.64378194825,0.012645,-0.000427,2025-12-05T20:00:00.104Z
EDEN-USD,LONG,400,29.286002,0.073215005999,0.011363,-0.000388,2025-12-05T20:00:00.104Z
ONDO-USD,LONG,64,29.30347,0.457866726249,0.000967,-0.000033,2025-12-05T19:00:00.104Z
KAITO-USD,LONG,46,29.477414,0.640813365749,0.012941,-0.000439,2025-12-05T19:00:00.104Z
EDEN-USD,LONG,400,28.929375,0.072323437774,0.009778,-0.000338,2025-12-05T19:00:00.104Z
ONDO-USD,LONG,64,29.634873,0.463044904749,0.001066,-0.000036,2025-12-05T18:00:00.104Z
KAITO-USD,LONG,46,29.738195,0.646482501749,0.012519,-0.000421,2025-12-05T18:00:00.104Z
EDEN-USD,LONG,400,29.546055,0.07386513925,0.007563,-0.000256,2025-12-05T18:00:00.104Z
NEAR-USD,LONG,17,28.506057,1.6768269175,-0.000371,0.000013,2025-12-05T17:00:00.104Z
RESOLV-USD,LONG,380,29.757901,0.078310267525,0.001011,-0.000034,2025-12-05T17:00:00.104Z
TRX-USD,LONG,100,28.456052,0.284560522399,-0.000228,0.000008,2025-12-05T15:00:00.104Z
HYPE-USD,SHORT,0.93,29.917282,32.169120652499,0.000388,0.000013,2025-12-05T10:00:00.104Z
OP-USD,SHORT,95,30.041908,0.31623061825,-0.001653,-0.000055,2025-12-05T10:00:00.104Z
EIGEN-USD,SHORT,55,29.84364,0.542611651604,-0.000568,-0.000019,2025-12-05T10:00:00.104Z
KAITO-USD,LONG,43,29.533405,0.686823379125,0.01772,-0.0006,2025-12-05T10:00:00.104Z
MON-USD,SHORT,1070,28.3004,0.026448972258,0.000368,0.000013,2025-12-05T05:00:00.104Z
LINEA-USD,SHORT,3400,29.771837,0.008756422687,0.000387,0.000013,2025-12-05T05:00:00.104Z
APT-USD,SHORT,15.6,29.658636,1.901194639499,0.000386,0.000013,2025-12-05T05:00:00.104Z
APEX-USD,SHORT,57,30.297421,0.531533703374,-0.000485,-0.000016,2025-12-05T05:00:00.104Z
MON-USD,SHORT,1070,29.08186,0.027179309071,0.000378,0.000013,2025-12-05T04:00:00.104Z
LINEA-USD,SHORT,3400,29.873819,0.008786417637,0.000389,0.000013,2025-12-05T04:00:00.104Z
APT-USD,SHORT,15.6,30.042906,1.925827334999,0.00039,0.000013,2025-12-05T04:00:00.104Z
APEX-USD,SHORT,57,30.101116,0.52808976,-0.000091,-0.000003,2025-12-05T04:00:00.104Z
MON-USD,SHORT,1070,29.230684,0.027318397193,0.00038,0.000013,2025-12-05T03:00:00.104Z
LINEA-USD,SHORT,3400,30.179677,0.008876375625,0.000392,0.000013,2025-12-05T03:00:00.104Z
APT-USD,SHORT,15.6,30.385785,1.94780673125,0.000395,0.000013,2025-12-05T03:00:00.104Z
APEX-USD,SHORT,57,30.191879,0.529682088,0.000393,0.000013,2025-12-05T03:00:00.104Z
MON-USD,SHORT,1070,29.01225,0.027114253164,0.000377,0.000013,2025-12-05T02:00:00.104Z
LINEA-USD,SHORT,3400,30.035039,0.008833835009,0.000391,0.000013,2025-12-05T02:00:00.104Z
APT-USD,SHORT,15.6,30.274902,1.94069890125,0.000394,0.000013,2025-12-05T02:00:00.104Z
APEX-USD,SHORT,57,29.777001,0.522403540875,0.000387,0.000013,2025-12-05T02:00:00.104Z
MON-USD,SHORT,1070,28.764683,0.02688288207,0.000374,0.000013,2025-12-05T01:00:00.104Z
LINEA-USD,SHORT,3400,30.378304,0.008934795357,0.000091,0.000003,2025-12-05T01:00:00.104Z
APT-USD,SHORT,15.6,30.229382,1.937780937499,0.000393,0.000013,2025-12-05T01:00:00.104Z
APEX-USD,SHORT,57,30.031954,0.526876385999,0.00012,0.000004,2025-12-05T01:00:00.104Z
MON-USD,SHORT,1070,29.590424,0.027654602728,0.000384,0.000013,2025-12-05T00:00:00.104Z
LINEA-USD,SHORT,3400,29.941116,0.008806210687,0.000149,0.000005,2025-12-05T00:00:00.104Z
APT-USD,SHORT,15.6,30.182349,1.934765993749,0.000392,0.000013,2025-12-05T00:00:00.104Z
APEX-USD,SHORT,57,30.11439,0.528322634374,0.000392,0.000013,2025-12-05T00:00:00.104Z
MON-USD,SHORT,1070,30.386484,0.028398583739,0.000395,0.000013,2025-12-04T23:00:00.104Z
LINEA-USD,SHORT,3400,29.771539,0.008756335137,0.000387,0.000013,2025-12-04T23:00:00.104Z
APT-USD,SHORT,15.6,30.328706,1.94414784725,-0.000152,-0.000005,2025-12-04T23:00:00.104Z
APEX-USD,SHORT,57,30.218948,0.53015698575,0.000392,0.000013,2025-12-04T23:00:00.104Z
HYPE-USD,LONG,0.9,29.850507,33.16723089375,0.000746,-0.000025,2025-12-04T22:00:00.104Z
ARB-USD,LONG,138,29.721643,0.215374226875,-0.000387,0.000013,2025-12-04T22:00:00.104Z
LINEA-USD,SHORT,3400,29.498391,0.008675997625,-0.000236,-0.000008,2025-12-04T22:00:00.104Z
APT-USD,SHORT,15.6,30.116067,1.93051715875,0.000301,0.00001,2025-12-04T22:00:00.104Z
BERA-USD,SHORT,32,29.395894,0.918621701249,-0.000324,-0.000011,2025-12-04T21:00:00.104Z
IP-USD,LONG,12,28.207336,2.350611414749,0.002877,-0.000102,2025-12-04T21:00:00.104Z
LINEA-USD,LONG,3400,29.531212,0.008685650696,-0.000384,0.000013,2025-12-04T21:00:00.104Z
MON-USD,SHORT,1020,29.630637,0.029049645007,0.000385,0.000013,2025-12-04T20:00:00.104Z
STRK-USD,SHORT,250,29.69121,0.118764843749,0.000386,0.000013,2025-12-04T20:00:00.104Z
APEX-USD,LONG,54,28.56417,0.5289661125,-0.000371,0.000013,2025-12-04T20:00:00.104Z
MON-USD,SHORT,1020,29.726138,0.029143272558,-0.000149,-0.000005,2025-12-04T19:00:00.104Z
STRK-USD,SHORT,250,29.943113,0.119772453124,0.00039,0.000013,2025-12-04T19:00:00.104Z
APEX-USD,LONG,54,29.41384,0.544700750999,-0.000382,0.000013,2025-12-04T19:00:00.104Z
MON-USD,SHORT,1020,29.738047,0.029154948148,-0.000654,-0.000022,2025-12-04T18:00:00.104Z
STRK-USD,SHORT,250,30.067986,0.120271945624,0.000391,0.000013,2025-12-04T18:00:00.104Z
APEX-USD,LONG,54,29.405739,0.54455072325,-0.000383,0.000013,2025-12-04T18:00:00.104Z
MON-USD,SHORT,1020,29.768565,0.029184868459,0.000387,0.000013,2025-12-04T17:00:00.104Z
STRK-USD,SHORT,250,29.966544,0.11986617975,0.000269,0.000009,2025-12-04T17:00:00.104Z
APEX-USD,LONG,54,29.571839,0.547626657,-0.000384,0.000013,2025-12-04T17:00:00.104Z
MON-USD,SHORT,1020,30.804803,0.030200787588,0.00037,0.000012,2025-12-04T16:00:00.104Z
STRK-USD,SHORT,250,29.992672,0.119970691375,0.00015,0.000005,2025-12-04T16:00:00.104Z
APEX-USD,LONG,54,29.967143,0.55494709875,-0.00039,0.000013,2025-12-04T16:00:00.104Z
MON-USD,SHORT,1020,29.751719,0.029168351968,0.000029,0.000001,2025-12-04T15:00:00.104Z
STRK-USD,SHORT,250,29.818015,0.11927206125,-0.001193,-0.00004,2025-12-04T15:00:00.104Z
APEX-USD,LONG,54,29.227286,0.541246054125,-0.00038,0.000013,2025-12-04T15:00:00.104Z
WLFI-USD,LONG,190,29.710064,0.156368761999,0.003565,-0.00012,2025-12-04T14:00:00.104Z
1000SHIB-USD,LONG,3400,29.660058,0.008723546699,0.001423,-0.000048,2025-12-04T14:00:00.104Z
APEX-USD,SHORT,55,29.925586,0.544101573291,-0.00006,-0.000002,2025-12-04T14:00:00.104Z
ZEC-USD,LONG,0.1,36.394545,363.945450624999,-0.000474,0.000013,2025-12-04T13:00:00.104Z
RESOLV-USD,LONG,380,29.363986,0.077273647687,0.008192,-0.000279,2025-12-04T13:00:00.104Z
WLFI-USD,LONG,180,28.340645,0.157448031875,0.001558,-0.000055,2025-12-04T13:00:00.104Z
