Market,Side,Date,Position Size,Payment,Rate
EDEN,short,2025-12-14 15:00:00,1220.0,-0.002954,-0.000037%
WLFI,short,2025-12-14 15:00:00,570.0,-0.007688,-0.000097%
RESOLV,short,2025-12-14 15:00:00,10,0.000006,0.000007%
ONDO,short,2025-12-14 15:00:00,178.0,-0.000561,-0.000007%
EDEN,short,2025-12-14 14:00:00,1020.7,-0.002973,-0.000044%
WLFI,short,2025-12-14 14:00:00,570.0,-0.004873,-0.000061%
RESOLV,short,2025-12-14 14:00:00,950,-0.000399,-0.000005%
SEI,short,2025-12-14 14:00:00,630.0,0.000955,0.000012%
EDEN,short,2025-12-14 12:00:00,1220.0,-0.001928,-0.000024%
AVNT,short,2025-12-14 12:00:00,278.8,-0.004221,-0.000053%
TIA,short,2025-12-14 12:00:00,141.0,-0.004952,-0.000062%
ZRO,short,2025-12-13 17:00:00,0.2,-0.000021,-0.000070%
LINEA,short,2025-12-12 22:00:00,2696,-0.000982,-0.000048%
PENDLE,short,2025-12-12 22:00:00,0.02,0.000001,0.000012%
CRV,short,2025-12-12 22:00:00,0.2,-0.000001,-0.000019%
MON,short,2025-12-12 21:00:00,4160.0,0.000201,0.000002%
EDEN,short,2025-12-12 21:00:00,773.2,-0.001304,-0.000026%
ZRO,short,2025-12-12 21:00:00,35.0,-0.003007,-0.000061%
PENDLE,short,2025-12-12 21:00:00,22.00,0.000580,0.000012%
CRV,short,2025-12-12 21:00:00,256.0,-0.002185,-0.000022%
STRK,short,2025-12-12 20:00:00,480.0,-0.005065,-0.000102%
TIA,short,2025-12-10 16:00:00,80.0,0.000583,0.000012%
BERA,short,2025-12-10 16:00:00,60.9,-0.000538,-0.000011%
TIA,short,2025-12-10 15:00:00,80.0,0.000342,0.000007%
BERA,short,2025-12-10 15:00:00,60.9,-0.003045,-0.000062%
TIA,short,2025-12-10 14:00:00,80.0,-0.000342,-0.000007%
BERA,short,2025-12-10 14:00:00,60.9,-0.004706,-0.000095%
TIA,short,2025-12-10 13:00:00,80.0,0.000147,0.000003%
BERA,short,2025-12-10 13:00:00,60.9,-0.006392,-0.000130%
TIA,short,2025-12-10 12:00:00,80.0,-0.000339,-0.000007%
BERA,short,2025-12-10 12:00:00,60.9,-0.006810,-0.000139%
TIA,short,2025-12-10 11:00:00,80.0,-0.000486,-0.000010%
BERA,short,2025-12-10 11:00:00,60.9,-0.005235,-0.000107%
TIA,short,2025-12-10 10:00:00,80.0,-0.000049,-0.000001%
BERA,short,2025-12-10 10:00:00,60.9,-0.005773,-0.000117%
