market,side,size,entry_price,realised_pnl,trade_pnl,funding_fees,trading_fees,exit_price,exit_type,closed_at
ZRO-USD,LONG,52,1.5231,-0.05733,-0.0312,0.009503,-0.035633,1.5225,TRADE,2025-12-13T17:00:34.106Z
APT-USD,LONG,47.2,1.6956,0.006457,0.04248,0,-0.036023,1.6965,TRADE,2025-12-13T16:45:21.557Z
ZEC-USD,LONG,0.1,433.272,-0.014997,0.0045,0,-0.019497,433.317,TRADE,2025-12-13T16:45:21.576Z
APT-USD,LONG,47.3,1.6914,-0.007627,0.02838,0,-0.036007,1.692,TRADE,2025-12-13T16:36:17.256Z
APT-USD,LONG,47.4,1.6889,-0.088152,-0.05214,0,-0.036012,1.6878,TRADE,2025-12-13T16:31:46.060Z
APT-USD,LONG,47.3,1.6921,-0.083305,-0.0473,0,-0.036005,1.6911,TRADE,2025-12-13T16:20:36.863Z
KAITO-USD,LONG,131,0.6106,-0.062188,-0.0262,0,-0.035988,0.6104,TRADE,2025-12-13T16:07:38.497Z
KAITO-USD,LONG,131,0.6106,-0.075285,-0.0393,0,-0.035985,0.6103,TRADE,2025-12-13T16:03:34.120Z
EIGEN-USD,LONG,179,0.4466,0.035612,0.0716,0,-0.035988,0.447,TRADE,2025-12-13T16:03:34.147Z
APT-USD,LONG,47.3,1.6956,-0.107024,-0.07095,0,-0.036074,1.6941,TRADE,2025-12-13T16:03:34.205Z
KAITO-USD,LONG,131,0.6094,-0.075215,-0.0393,0,-0.035915,0.6091,TRADE,2025-12-13T15:56:38.181Z
KAITO-USD,LONG,131,0.6084,-0.035864,0,0,-0.035864,0.6084,TRADE,2025-12-13T15:48:30.434Z
CRV-USD,LONG,19,0.40539,-0.078027,-0.0421,0,-0.035927,0.40518,TRADE,2025-12-13T15:19:15.184Z
PENDLE-USD,LONG,37,2.162,-0.057092,-0.0211,0,-0.035992,2.1615,TRADE,2025-12-13T15:00:49.337Z
CRV-USD,LONG,198,0.40355,-0.065649,-0.0297,0,-0.035949,0.4034,TRADE,2025-12-13T15:00:48.547Z
TIA-USD,LONG,138,0.5787,-0.091124,-0.0552,0,-0.035924,0.5783,TRADE,2025-12-13T14:32:56.623Z
TIA-USD,LONG,127,0.5789,-0.140825,-0.1049,0,-0.035925,0.5781,TRADE,2025-12-13T14:25:56.733Z
AVNT-USD,LONG,274,0.2914,-0.227685,-0.1918,0,-0.035885,0.2907,TRADE,2025-12-13T14:25:56.686Z
TIA-USD,LONG,138,0.5796,-0.118773,-0.0828,0,-0.035973,0.579,TRADE,2025-12-13T14:20:54.558Z
