market,side,price,qty,total_value,fee,trade_type,time
CRV-USD,SELL,0.4049500000000000,19.0000000000000000,7.694050,0.0017310000000000,TRADE,2025-12-13T15:19:15.178Z
CRV-USD,SELL,0.4051900000000000,100.0000000000000000,40.519000,0.0091160000000000,TRADE,2025-12-13T15:19:15.178Z
CRV-USD,SELL,0.4052300000000000,78.0000000000000000,31.607940,0.0071110000000000,TRADE,2025-12-13T15:19:15.178Z
CRV-USD,BUY,0.4054000000000000,126.0000000000000000,51.080400,0.0114930000000000,TRADE,2025-12-13T15:18:20.704Z
CRV-USD,BUY,0.4053900000000000,71.0000000000000000,28.782690,0.0064760000000000,TRADE,2025-12-13T15:18:20.704Z
PENDLE-USD,SELL,2.1615000000000000,37.0000000000000000,79.975500,0.0179940000000000,TRADE,2025-12-13T15:00:49.334Z
CRV-USD,SELL,0.4034000000000000,198.0000000000000000,79.873200,0.0179710000000000,TRADE,2025-12-13T15:00:48.543Z
PENDLE-USD,BUY,2.1623000000000000,20.0000000000000000,43.246000,0.0097300000000000,TRADE,2025-12-13T15:00:39.728Z
PENDLE-USD,BUY,2.1618000000000000,17.0000000000000000,36.750600,0.0082680000000000,TRADE,2025-12-13T15:00:39.728Z
CRV-USD,BUY,0.4035500000000000,198.0000000000000000,79.902900,0.0179780000000000,TRADE,2025-12-13T15:00:26.989Z
TIA-USD,SELL,0.5783000000000000,138.0000000000000000,79.805400,0.0179560000000000,TRADE,2025-12-13T14:32:56.619Z
TIA-USD,BUY,0.5787000000000000,138.0000000000000000,79.860600,0.0179680000000000,TRADE,2025-12-13T14:32:51.124Z
TIA-USD,SELL,0.5781000000000000,127.0000000000000000,73.418700,0.0165190000000000,TRADE,2025-12-13T14:25:56.729Z
TIA-USD,SELL,0.5786000000000000,11.0000000000000000,6.364600,0.0014320000000000,TRADE,2025-12-13T14:25:56.729Z
AVNT-USD,SELL,0.2907000000000000,274.0000000000000000,79.651800,0.0179210000000000,TRADE,2025-12-13T14:25:56.675Z
TIA-USD,BUY,0.5789000000000000,138.0000000000000000,79.888200,0.0179740000000000,TRADE,2025-12-13T14:25:23.061Z
AVNT-USD,BUY,0.2914000000000000,274.0000000000000000,79.843600,0.0179640000000000,TRADE,2025-12-13T14:24:52.640Z
TIA-USD,SELL,0.5790000000000000,138.0000000000000000,79.902000,0.0179770000000000,TRADE,2025-12-13T14:20:54.551Z
KAITO-USD,SELL,0.6071000000000000,131.0000000000000000,79.530100,0.0178940000000000,TRADE,2025-12-13T14:20:54.550Z
TIA-USD,BUY,0.5796000000000000,138.0000000000000000,79.984800,0.0179960000000000,TRADE,2025-12-13T14:20:35.457Z
KAITO-USD,BUY,0.6076000000000000,131.0000000000000000,79.595600,0.0179090000000000,TRADE,2025-12-13T14:19:56.051Z
TIA-USD,SELL,0.5778000000000000,138.0000000000000000,79.736400,0.0179400000000000,TRADE,2025-12-13T14:07:15.478Z
KAITO-USD,SELL,0.6077000000000000,131.0000000000000000,79.608700,0.0179110000000000,TRADE,2025-12-13T14:07:15.468Z
CRV-USD,SELL,0.4011600000000000,199.0000000000000000,79.830840,0.0179610000000000,TRADE,2025-12-13T14:07:15.464Z
KAITO-USD,BUY,0.6082000000000000,131.0000000000000000,79.674200,0.0179260000000000,TRADE,2025-12-13T14:06:17.379Z
CRV-USD,BUY,0.4015500000000000,199.0000000000000000,79.908450,0.0179790000000000,TRADE,2025-12-13T14:06:04.062Z
TIA-USD,BUY,0.5797000000000000,138.0000000000000000,79.998600,0.0179990000000000,TRADE,2025-12-13T14:05:57.045Z
CRV-USD,SELL,0.4011200000000000,199.0000000000000000,79.822880,0.0179600000000000,TRADE,2025-12-13T14:01:41.387Z
